IP,speed1,speed2,speed3
172.16.248.2,2.763,2.041,1.378
128.122.1.97,4.682,4.158,1.777
128.122.1.4,3.009,2.551,7.445
192.168.184.228,2.962,2.199,3.175
128.122.254.114,2.660,4.209,29.586
192.168.184.221,2.694,2.366,2.636
192.76.177.202,2.593,3.041,2.382
128.122.254.111,2.593,2.608,2.589
128.122.254.70,2.699,2.569,3.090
64.86.62.13,4.138,2.819,2.455
66.198.111.4,9.298,9.238,8.904
216.6.87.137,8.898
216.6.87.241,8.808
216.6.87.137,8.531
216.6.87.2,8.656,8.732,9.111
66.198.154.186,9.735,9.986
66.198.154.66,100.820
209.200.144.202,9.488
209.200.144.200,9.363
209.200.144.194,8.944
209.200.144.205,8.570,8.513,8.798
209.200.148.130,40.043,40.018,39.597
198.185.159.144,37.686,38.510,37.708
